Date,Home Team,Away Team,Home Win %,Away Win %
August-16,South Africa,Australia,87,13
August-16,Argentina,New Zealand,50,50
August-23,South Africa,Australia,87,13
August-23,Argentina,New Zealand,50,50
September-06,Australia,Argentina,26,74
September-06,New Zealand,South Africa,46,54
September-13,Australia,Argentina,26,74
September-13,New Zealand,South Africa,46,54
September-27,New Zealand,Australia,83,17
September-27,South Africa,Argentina,67,33
October-04,Australia,New Zealand,23,77
October-04,Argentina,South Africa,41,59
